# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   21  ,  University College London  , UK , 2013    
   21  ,  University College London  , UK , 2012    
   21  ,  University College London  , UK , 2010    
   21  ,  University College London  , UK , 2009    
   22  ,  Imperial College London  , UK , 2016    
   22  ,  Imperial College London  , UK , 2014    
   22  ,  University College London  , UK , 2008    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2012    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2011    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2010    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2009    
   23  ,  Imperial College London  , UK , 2015    
   23  ,  Imperial College London  , UK , 2007    
   23  ,  Imperial College London  , UK , 2006    
   23  ,  Imperial College London  , UK , 2005    
   23  ,  Imperial College London  , UK , 2004    
   24  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2008    
   24  ,  Imperial College London  , UK , 2018    
   24  ,  Imperial College London  , UK , 2013    
   24  ,  Imperial College London  , UK , 2012    
   24  ,  Imperial College London  , UK , 2011    
   25  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2003    
   25  ,  University College London  , UK , 2007    
   25  ,  University College London  , UK , 2004    
   26  ,  Imperial College London  , UK , 2010    
   26  ,  Imperial College London  , UK , 2009    
   26  ,  University College London  , UK , 2006    
   26  ,  University College London  , UK , 2005    
   27  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2007    
   27  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2006    
   27  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2005    
   27  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2004    
   27  ,  Imperial College London  , UK , 2017    
   27  ,  Imperial College London  , UK , 2008    
   29  ,  University of Copenhagen  , Denmark , 2018    
   30  ,  University of Copenhagen  , Denmark , 2017    
   30  ,  University of Copenhagen  , Denmark , 2016    
   32  ,  University of Edinburgh  , UK , 2018    
   32  ,  University of Edinburgh  , UK , 2017    
   34  ,  University of Manchester  , UK , 2018    
   35  ,  University of Copenhagen  , Denmark , 2015    
   35  ,  University Pierre et Marie Curie (Paris VI)  , France , 2014    
   35  ,  University of Manchester  , UK , 2016    
   36  ,  University Paris-Sorbonne (Paris IV)  , France , 2018    
   36  ,  University Pierre et Marie Curie (Paris VI)  , France , 2015    
   37  ,  University Paris Sud (Paris XI)  , France , 2012    
   37  ,  University Pierre et Marie Curie (Paris VI)  , France , 2013    
   38  ,  University of Manchester  , UK , 2017    
   38  ,  University of Manchester  , UK , 2014    
   38  ,  University of Manchester  , UK , 2011    
   39  ,  University of Copenhagen  , Denmark , 2014    
   39  ,  University Paris Sud (Paris XI)  , France , 2013    
   39  ,  University Pierre et Marie Curie (Paris VI)  , France , 2016    
   39  ,  University Pierre et Marie Curie (Paris VI)  , France , 2010    
   39  ,  University Pierre et Marie Curie (Paris VI)  , France , 2007    
   39  ,  Utrecht University  , Netherlands , 2004    
   39  ,  Karolinska Institute  , Sweden , 2003    
   40  ,  University of Copenhagen  , Denmark , 2010    
   40  ,  University Paris Sud (Paris XI)  , France , 2011    
   40  ,  University Pierre et Marie Curie (Paris VI)  , France , 2017    
   40  ,  University Pierre et Marie Curie (Paris VI)  , France , 2009    
   40  ,  Utrecht University  , Netherlands , 2006    
   40  ,  Utrecht University  , Netherlands , 2003    
   40  ,  University of Manchester  , UK , 2012    
   40  ,  University of Manchester  , UK , 2008    
   41  ,  University Paris Sud (Paris XI)  , France , 2017    
   41  ,  University Paris Sud (Paris XI)  , France , 2015    
   41  ,  University Pierre et Marie Curie (Paris VI)  , France , 2011    
   41  ,  University Pierre et Marie Curie (Paris VI)  , France , 2004    
   41  ,  Utrecht University  , Netherlands , 2005    
   41  ,  University of Edinburgh  , UK , 2016    
   41  ,  University of Manchester  , UK , 2015    
   41  ,  University of Manchester  , UK , 2013    
   41  ,  University of Manchester  , UK , 2009    
   42  ,  University of Heidelberg  , Germany , 2017    
   42  ,  University of Copenhagen  , Denmark , 2013    
   42  ,  University Paris Sud (Paris XI)  , France , 2018    
   42  ,  University Paris Sud (Paris XI)  , France , 2014    
   42  ,  University Pierre et Marie Curie (Paris VI)  , France , 2012    
   42  ,  University Pierre et Marie Curie (Paris VI)  , France , 2008    
   42  ,  Utrecht University  , Netherlands , 2007    
   42  ,  Karolinska Institute  , Sweden , 2012    
   42  ,  Karolinska Institute  , Sweden , 2010    
   43  ,  University of Copenhagen  , Denmark , 2011    
   43  ,  University of Copenhagen  , Denmark , 2009    
   43  ,  University Paris Sud (Paris XI)  , France , 2009    
   43  ,  University of Edinburgh  , UK , 2003    
   44  ,  University of Copenhagen  , Denmark , 2012    
   44  ,  Karolinska Institute  , Sweden , 2018    
   44  ,  Karolinska Institute  , Sweden , 2017    
   44  ,  Karolinska Institute  , Sweden , 2016    
   44  ,  Karolinska Institute  , Sweden , 2013    
   44  ,  Karolinska Institute  , Sweden , 2011    
   44  ,  University of Manchester  , UK , 2010    
   45  ,  Technical University of München  , Germany , 2004    
   45  ,  University of Copenhagen  , Denmark , 2008    
   45  ,  University Paris Sud (Paris XI)  , France , 2010    
   45  ,  University Pierre et Marie Curie (Paris VI)  , France , 2006    
   45  ,  Karolinska Institute  , Sweden , 2005    
   45  ,  University of Edinburgh  , UK , 2014    
   45  ,  University of Zurich  , Switzerland , 2003    
   46  ,  University of Heidelberg  , Germany , 2015    
   46  ,  University of Copenhagen  , Denmark , 2007    
   46  ,  University Paris Sud (Paris XI)  , France , 2016    
   46  ,  University Pierre et Marie Curie (Paris VI)  , France , 2005    
   46  ,  Karolinska Institute  , Sweden , 2004    
   46  ,  King&rsquo;s College London  , UK , 2017    
   47  ,  University of Heidelberg  , Germany , 2018    
   47  ,  University of Heidelberg  , Germany , 2016    
   47  ,  Technical University of München  , Germany , 2016    
   47  ,  Technical University of München  , Germany , 2011    
   47  ,  Utrecht University  , Netherlands , 2017    
   47  ,  Utrecht University  , Netherlands , 2008    
   47  ,  Karolinska Institute  , Sweden , 2014    
   47  ,  University of Edinburgh  , UK , 2015    
   47  ,  University of Edinburgh  , UK , 2005    
   47  ,  University of Edinburgh  , UK , 2004    
   48  ,  University of München  , Germany , 2003    
   48  ,  Technical University of München  , Germany , 2018    
   48  ,  University Paris Sud (Paris XI)  , France , 2004    
   48  ,  Utrecht University  , Netherlands , 2011    
   48  ,  Karolinska Institute  , Sweden , 2015    
   48  ,  Karolinska Institute  , Sweden , 2006    
   48  ,  University of Manchester  , UK , 2007    
   49  ,  University of München  , Germany , 2014    
   49  ,  University of Heidelberg  , Germany , 2014    
   49  ,  University Paris Sud (Paris XI)  , France , 2008    
   50  ,  Technical University of München  , Germany , 2017    
   50  ,  Technical University of München  , Germany , 2013    
