# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2010
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   310  ,  University of Bochum  , Germany    
   312  ,  University of Konstanz  , Germany    
   313  ,  University of Oulu  , Finland    
   315  ,  Saarland University  , Germany    
   316  ,  University of Bielefeld  , Germany    
   322  ,  Technical University of Dresden  , Germany    
   324  ,  University of Düsseldorf  , Germany    
   325  ,  University of Münster  , Germany    
   328  ,  University of Florence  , Italy    
   329  ,  University René Descartes (Paris V)  , France    
   330  ,  Dublin City University  , Ireland    
   332  ,  Bilkent University  , Turkey    
   336  ,  University Pompeu Fabra  , Spain    
   337  ,  Ben-Gurion University of the Negev  , Israel    
   339  ,  University of Bremen  , Germany    
   344  ,  University of Mainz  , Germany    
   346  ,  University Lille I  , France    
   349  ,  University of Graz  , Austria    
   353  ,  University of Navarra  , Spain    
   356  ,  Heriot-Watt University  , UK    
   361  ,  Brunel University  , UK    
   363  ,  University of Pavia  , Italy    
   364  ,  University of Warsaw  , Poland    
   368  ,  Bangor University  , UK    
   369  ,  University of Tampere  , Finland    
   373  ,  University of Bayreuth  , Germany    
   375  ,  Novosibirsk State University  , Russia    
   376  ,  Swansea University  , UK    
   378  ,  University of Marburg  , Germany    
   379  ,  University of Regensburg  , Germany    
   380  ,  Aberystwyth University  , UK    
   382  ,  University Paul Sabatier - Toulouse III  , France    
   383  ,  University of St.Gallen  , Switzerland    
   384  ,  New University of Lisbon  , Portugal    
   386  ,  Goldsmiths College - University of London  , UK    
   389  ,  Linkoping University  , Sweden    
   390  ,  University Claude Bernard - Lyon I  , France    
   394  ,  University of Bradford  , UK    
   395  ,  Dublin Institute of Technology  , Ireland    
   396  ,  University of Coimbra  , Portugal    
   399  ,  University of Jena  , Germany    
   400  ,  University of Kiel  , Germany    
   401-450  ,  Czech Technical University of Prague  , Czech Republic    
   401-450  ,  Technical University of Braunschweig  , Germany    
   401-450  ,  University of Valencia  , Spain    
   401-450  ,  University Henri Poincaré - Nancy I  , France    
   401-450  ,  University Paris-Dauphine (Paris IX)  , France    
   401-450  ,  Aristotle University of Thessaloniki  , Greece    
   401-450  ,  University of Crete  , Greece    
   401-450  ,  Eötvös Lorand University  , Hungary    
   401-450  ,  National University of Ireland - Maynooth  , Ireland    
   401-450  ,  University of Naples Federico II  , Italy    
   401-450  ,  University of Rome - Tor Vergata  , Italy    
   401-450  ,  University of Trento  , Italy    
   401-450  ,  University of Trieste  , Italy    
   401-450  ,  Tomsk State University  , Russia    
   401-450  ,  Istanbul University  , Turkey    
   401-450  ,  Koc University  , Turkey    
   401-450  ,  University of Kent at Canterbury  , UK    
   401-450  ,  Technical University of Dortmund  , Germany    
   451-500  ,  University of Linz  , Austria    
   451-500  ,  University of Duisburg-Essen  , Germany    
   451-500  ,  University of Giessen  , Germany    
   451-500  ,  University of Halle-Wittenberg  , Germany    
   451-500  ,  University of Hannover  , Germany    
   451-500  ,  Aalborg University  , Denmark    
   451-500  ,  University of Granada  , Spain    
   451-500  ,  University of Salamanca  , Spain    
   451-500  ,  University of Santiago de Compostela  , Spain    
   451-500  ,  University Panthéon-Assas (Paris II)  , France    
   451-500  ,  University of Rennes I  , France    
   451-500  ,  National Technical University of Athens  , Greece    
   451-500  ,  University of Patras  , Greece    
   451-500  ,  University of Szeged  , Hungary    
   451-500  ,  University of Limerick  , Ireland    
   451-500  ,  Polytechnic University of Turin  , Italy    
   451-500  ,  University of Milan  , Italy    
   451-500  ,  University of Siena  , Italy    
   451-500  ,  University of Turin  , Italy    
   451-500  ,  University of Porto  , Portugal    
   451-500  ,  Higher School of Economics  , Russia    
   451-500  ,  Istanbul Technical University  , Turkey    
   451-500  ,  City University London  , UK    
   451-500  ,  Open University  , UK    
   451-500  ,  University of Hull  , UK    
