# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   62  ,  University of Amsterdam  , Netherlands , 2016    
   62  ,  University of Edinburgh  , UK , 2014    
   63  ,  University of Basel  , Switzerland , 2014    
   63  ,  University of Geneva  , Switzerland , 2017    
   63  ,  Trinity College Dublin  , Ireland , 2012    
   63  ,  University of Dundee  , UK , 2016    
   63  ,  University of Durham  , UK , 2013    
   63  ,  University of Edinburgh  , UK , 2015    
   64  ,  VU University Amsterdam  , Netherlands , 2015    
   64  ,  VU University Amsterdam  , Netherlands , 2014    
   64  ,  University of Amsterdam  , Netherlands , 2017    
   64  ,  University of Twente  , Netherlands , 2012    
   64  ,  Utrecht University  , Netherlands , 2013    
   64  ,  University of St. Andrews  , UK , 2016    
   65  ,  University of Dundee  , UK , 2014    
   65  ,  University of East Anglia  , UK , 2016    
   65  ,  University of Warwick  , UK , 2018    
   66  ,  Technical University of Denmark  , Denmark , 2016    
   66  ,  Ecole Polytechnique  , France , 2015    
   66  ,  Delft University of Technology  , Netherlands , 2017    
   66  ,  University of Edinburgh  , UK , 2012    
   67  ,  University of Amsterdam  , Netherlands , 2018    
   67  ,  University of Zurich  , Switzerland , 2014    
   68  ,  University of Lausanne  , Switzerland , 2013    
   68  ,  University of Amsterdam  , Netherlands , 2015    
   68  ,  University of Manchester  , UK , 2018    
   69  ,  University of Geneva  , Switzerland , 2016    
   69  ,  Wageningen University & Research Center  , Netherlands , 2012    
   69  ,  University of York  , UK , 2015    
   70  ,  University of Zurich  , Switzerland , 2013    
   71  ,  Catholic University of Leuven  , Belgium , 2015    
   71  ,  Technical University of München  , Germany , 2014    
   71  ,  University of St. Andrews  , UK , 2012    
   71  ,  University of Zurich  , Switzerland , 2016    
   72  ,  University René Descartes (Paris V)  , France , 2015    
   72  ,  University of Zurich  , Switzerland , 2012    
   73  ,  Technical University of Denmark  , Denmark , 2014    
   73  ,  Erasmus University Rotterdam  , Netherlands , 2018    
   73  ,  University of Bristol  , UK , 2012    
   73  ,  University of Warwick  , UK , 2017    
   74  ,  Catholic University of Leuven  , Belgium , 2018    
   74  ,  Erasmus University Rotterdam  , Netherlands , 2012    
   74  ,  University of Leiden  , Netherlands , 2016    
   74  ,  University of Durham  , UK , 2017    
   75  ,  University of Geneva  , Switzerland , 2018    
   75  ,  Delft University of Technology  , Netherlands , 2016    
