# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   172  ,  University of Lancaster  , UK , 2014    
   172  ,  Newcastle University - Newcastle-upon-Tyne  , UK , 2012    
   173  ,  University of Tübingen  , Germany , 2012    
   173  ,  University of Düsseldorf  , Germany , 2015    
   173  ,  University of Mainz  , Germany , 2013    
   174  ,  University of Bern  , Switzerland , 2018    
   174  ,  University of Bonn  , Germany , 2015    
   174  ,  University of Heidelberg  , Germany , 2014    
   174  ,  Karolinska Institute  , Sweden , 2013    
   175  ,  University of Düsseldorf  , Germany , 2013    
   175  ,  University College Cork  , Ireland , 2014    
   175  ,  Hebrew University of Jerusalem  , Israel , 2015    
   175  ,  University of Nottingham  , UK , 2018    
   175  ,  RWTH Aachen University  , Germany , 2012    
   176  ,  Medical University of Vienna  , Austria , 2013    
   176  ,  University of Bern  , Switzerland , 2017    
   176  ,  University of Düsseldorf  , Germany , 2014    
   176  ,  University of Mainz  , Germany , 2016    
   176  ,  University of Strasbourg  , France , 2015    
   177  ,  University of Bern  , Switzerland , 2013    
   177  ,  Hebrew University of Jerusalem  , Israel , 2016    
   177  ,  Karlsruhe Institute of Technology  , Germany , 2015    
   177  ,  University of Bordeaux  , France , 2017    
   178  ,  University of Gent  , Belgium , 2016    
   178  ,  University of Freiburg  , Germany , 2017    
   178  ,  University of Cologne  , Germany , 2012    
   179  ,  University of Montpellier I  , France , 2016    
   179  ,  University of Twente  , Netherlands , 2018    
   179  ,  University of Bath  , UK , 2015    
   179  ,  University of Birmingham  , UK , 2014    
   179  ,  University of Southampton  , UK , 2013    
   180  ,  University of Freiburg  , Germany , 2016    
   180  ,  University of Southern Denmark  , Denmark , 2012    
   180  ,  University Rovira I Virgili Tarragona  , Spain , 2014    
   180  ,  University of Twente  , Netherlands , 2017    
   181  ,  University of Hamburg  , Germany , 2015    
   181  ,  University of Stuttgart  , Germany , 2014    
   181  ,  University College Cork  , Ireland , 2013    
   181  ,  University of Warwick  , UK , 2012    
   181  ,  University Paris-Est Créteil Val de Marne  , France , 2016    
   182  ,  Cardiff University  , UK , 2014    
   183  ,  University of Graz  , Austria , 2018    
   183  ,  University of Frankfurt am Main  , Germany , 2015    
   183  ,  Radboud University of Nijmegen  , Netherlands , 2012    
   183  ,  Cardiff University  , UK , 2016    
   183  ,  Karlsruhe Institute of Technology  , Germany , 2013    
   184  ,  Humboldt University of Berlin  , Germany , 2015    
   184  ,  Technical University of Darmstadt  , Germany , 2017    
   184  ,  University of Strasbourg  , France , 2014    
   184  ,  University Paris-Est Créteil Val de Marne  , France , 2013    
   185  ,  Medical University of Vienna  , Austria , 2015    
   185  ,  University of Regensburg  , Germany , 2017    
   186  ,  University of Erlangen-Nürnberg  , Germany , 2017    
   186  ,  University of Trento  , Italy , 2018    
   186  ,  London School of Economics  , UK , 2014    
   186  ,  University of Liverpool  , UK , 2012    
   186  ,  University of Strasbourg  , France , 2016    
   187  ,  University of Antwerp  , Belgium , 2015    
   187  ,  University of Bonn  , Germany , 2016    
   187  ,  University of Stuttgart  , Germany , 2018    
   187  ,  University of Plymouth  , UK , 2017    
   187  ,  University of Reading  , UK , 2012    
   188  ,  University of Gent  , Belgium , 2013    
   188  ,  University College Cork  , Ireland , 2015    
   188  ,  University of Plymouth  , UK , 2018    
   189  ,  University of Antwerp  , Belgium , 2012    
   189  ,  University of Frankfurt am Main  , Germany , 2014    
   189  ,  University of Lancaster  , UK , 2016    
   189  ,  Karlsruhe Institute of Technology  , Germany , 2017    
   190  ,  University of Vienna  , Austria , 2017    
   190  ,  University of Natural Resources and Life Sciences - Vienna  , Austria , 2018    
   190  ,  University of Regensburg  , Germany , 2012    
   190  ,  University of Bath  , UK , 2013    
   190  ,  Karlsruhe Institute of Technology  , Germany , 2016    
   191  ,  University of Münster  , Germany , 2018    
   191  ,  University of Surrey  , UK , 2017    
   192  ,  University of Innsbruck  , Austria , 2012    
   192  ,  Free University of Berlin  , Germany , 2014    
   192  ,  University of Bayreuth  , Germany , 2017    
   192  ,  University of Strasbourg  , France , 2013    
   193  ,  Catholic University of Louvain  , Belgium , 2016    
   193  ,  University of Bonn  , Germany , 2018    
   193  ,  University of Montpellier II  , France , 2012    
   193  ,  University of Trento  , Italy , 2014    
   193  ,  University of Manchester  , UK , 2013    
   194  ,  Swedish University of Agricultural Sciences  , Sweden , 2012    
   194  ,  Queen&rsquo;s University Belfast  , UK , 2018    
   195  ,  University of Southern Denmark  , Denmark , 2013    
   196  ,  University of Hamburg  , Germany , 2013    
   196  ,  University of Versailles Saint-Quentin-en-Yvelines  , France , 2018    
   198  ,  University of Düsseldorf  , Germany , 2018    
   199  ,  University of Stuttgart  , Germany , 2016    
   199  ,  Queen&rsquo;s University Belfast  , UK , 2017    
   200  ,  Humboldt University of Berlin  , Germany , 2014    
   200  ,  University Joseph Fourier - Grenoble I  , France , 2013    
   200  ,  University of Hull  , UK , 2016    
   201  ,  University of Vienna  , Austria , 2018    
   201  ,  University of Tübingen  , Germany , 2013    
   201  ,  University of Düsseldorf  , Germany , 2012    
   201  ,  Technical University of Berlin  , Germany , 2017    
   201  ,  University of Hull  , UK , 2014    
   202  ,  Vienna University of Technology  , Austria , 2015    
   202  ,  University of Erlangen-Nürnberg  , Germany , 2016    
   203  ,  University of Mainz  , Germany , 2015    
   203  ,  University of Münster  , Germany , 2017    
   203  ,  University of Reading  , UK , 2014    
   203  ,  RWTH Aachen University  , Germany , 2018    
   204  ,  University of Duisburg-Essen  , Germany , 2012    
   204  ,  University of Marburg  , Germany , 2014    
   204  ,  Technical University of Berlin  , Germany , 2016    
   204  ,  University of Ulm  , Germany , 2013    
   204  ,  Cardiff University  , UK , 2015    
   204  ,  University of Montpellier  , France , 2018    
   205  ,  Aarhus University  , Denmark , 2017    
   205  ,  University of Montpellier I  , France , 2015    
   205  ,  National University of Ireland - Galway  , Ireland , 2014    
   205  ,  University of Sussex  , UK , 2016    
   206  ,  Université Libre de Bruxelles  , Belgium , 2018    
   206  ,  University of Frankfurt am Main  , Germany , 2016    
   206  ,  University of Maastricht  , Netherlands , 2012    
   206  ,  University of Leicester  , UK , 2015    
   206  ,  University of Natural Resources and Life Sciences  , Austria , 2017    
   207  ,  Ecole Polytechnique  , France , 2013    
   207  ,  University Paul Sabatier - Toulouse III  , France , 2018    
   207  ,  University of Leeds  , UK , 2012    
   207  ,  University of Sussex  , UK , 2017    
   208  ,  University of Erlangen-Nürnberg  , Germany , 2013    
   208  ,  Humboldt University of Berlin  , Germany , 2016    
   208  ,  University Paul Sabatier - Toulouse III  , France , 2017    
   208  ,  Chalmers University of Technology  , Sweden , 2012    
   208  ,  Queen&rsquo;s University Belfast  , UK , 2015    
   209  ,  University of Marburg  , Germany , 2015    
   209  ,  Technical University of Dresden  , Germany , 2012    
   209  ,  Aarhus University  , Denmark , 2016    
   209  ,  University of Limerick  , Ireland , 2017    
   209  ,  Chalmers University of Technology  , Sweden , 2013    
   210  ,  University of Düsseldorf  , Germany , 2016    
   210  ,  University of Bayreuth  , Germany , 2014    
   210  ,  University of Manchester  , UK , 2012    
   211  ,  University of Hamburg  , Germany , 2014    
   211  ,  University Claude Bernard - Lyon I  , France , 2012    
   211  ,  University Val-de-Marne (Paris XII)  , France , 2017    
   211  ,  RWTH Aachen University  , Germany , 2015    
   212  ,  University of Regensburg  , Germany , 2018    
   212  ,  University of Regensburg  , Germany , 2016    
   212  ,  Chalmers University of Technology  , Sweden , 2017    
   213  ,  University of Freiburg  , Germany , 2018    
   213  ,  Hebrew University of Jerusalem  , Israel , 2014    
   213  ,  RWTH Aachen University  , Germany , 2017    
   214  ,  University of Kiel  , Germany , 2016    
   214  ,  Free University of Berlin  , Germany , 2012    
   214  ,  University of Erlangen-Nürnberg  , Germany , 2018    
   214  ,  Stockholm University  , Sweden , 2015    
   215  ,  University of Vienna  , Austria , 2015    
   215  ,  University of Kiel  , Germany , 2014    
   215  ,  University of Ulm  , Germany , 2012    
   215  ,  University of the Balearic Islands  , Spain , 2018    
   216  ,  University of Barcelona  , Spain , 2014    
   216  ,  University Claude Bernard - Lyon I  , France , 2017    
   216  ,  Stockholm University  , Sweden , 2018    
   217  ,  Medical University of Vienna  , Austria , 2017    
   217  ,  Université Libre de Bruxelles  , Belgium , 2014    
   217  ,  Karlsruhe Institute of Technology  , Germany , 2018    
   218  ,  Université Libre de Bruxelles  , Belgium , 2013    
   218  ,  University of Hamburg  , Germany , 2016    
   218  ,  University Joseph Fourier - Grenoble I  , France , 2012    
   218  ,  University College Cork  , Ireland , 2018    
   218  ,  University of Aquila  , Italy , 2017    
   218  ,  Swedish University of Agricultural Sciences  , Sweden , 2015    
   218  ,  University of Leicester  , UK , 2014    
   219  ,  Stockholm University  , Sweden , 2017    
   219  ,  Umea University  , Sweden , 2012    
   219  ,  RWTH Aachen University  , Germany , 2016    
   220  ,  University of Vienna  , Austria , 2016    
   220  ,  RWTH Aachen University  , Germany , 2013    
   221  ,  Free University of Berlin  , Germany , 2017    
   222  ,  University of Mainz  , Germany , 2014    
   222  ,  University of Trento  , Italy , 2016    
   222  ,  Aalto University  , Finland , 2012    
   222  ,  University of Natural Resources and Life Sciences  , Austria , 2015    
   223  ,  Technical University of Darmstadt  , Germany , 2016    
   223  ,  University of Ulm  , Germany , 2014    
   223  ,  University Claude Bernard - Lyon I  , France , 2013    
   223  ,  University of Trento  , Italy , 2017    
   223  ,  Göteborg University  , Sweden , 2012    
   224  ,  Medical University of Vienna  , Austria , 2014    
   224  ,  University of Bayreuth  , Germany , 2015    
   224  ,  Uppsala University  , Sweden , 2012    
   225  ,  University of Mainz  , Germany , 2018    
   225  ,  University of Cologne  , Germany , 2015    
   225  ,  University of Cologne  , Germany , 2014    
   225  ,  University of Cologne  , Germany , 2013    
   226  ,  University of Marburg  , Germany , 2013    
   226  ,  Technical University of Dresden  , Germany , 2015    
   226  ,  Kaiserslautern University of Technology  , Germany , 2017    
   226  ,  University of Cologne  , Germany , 2018    
   226  ,  University of Surrey  , UK , 2016    
   227  ,  University of Bonn  , Germany , 2017    
   227  ,  University of Bremen  , Germany , 2012    
   228  ,  Université Libre de Bruxelles  , Belgium , 2015    
   228  ,  Loughborough University  , UK , 2018    
   229  ,  University of Erlangen-Nürnberg  , Germany , 2014    
   229  ,  University of Montpellier II  , France , 2013    
   229  ,  University of Surrey  , UK , 2018    
   230  ,  University of Gent  , Belgium , 2012    
   230  ,  Free University of Berlin  , Germany , 2015    
   230  ,  University of Duisburg-Essen  , Germany , 2018    
   230  ,  Göteborg University  , Sweden , 2014    
   231  ,  Université Libre de Bruxelles  , Belgium , 2012    
   231  ,  University of Strasbourg  , France , 2018    
   232  ,  University of Frankfurt am Main  , Germany , 2018    
   232  ,  University of Stuttgart  , Germany , 2017    
   232  ,  RWTH Aachen University  , Germany , 2014    
   233  ,  Université Libre de Bruxelles  , Belgium , 2016    
   233  ,  University of Frankfurt am Main  , Germany , 2017    
   233  ,  University of Helsinki  , Finland , 2015    
   233  ,  Karlsruhe Institute of Technology  , Germany , 2014    
   234  ,  University of Kiel  , Germany , 2017    
   234  ,  University of Göttingen  , Germany , 2013    
   234  ,  University of Montpellier I  , France , 2012    
   234  ,  University College Dublin  , Ireland , 2016    
   234  ,  Brunel University  , UK , 2014    
   235  ,  University Paris-Est Créteil Val de Marne  , France , 2015    
   236  ,  Technical University of Dresden  , Germany , 2013    
   236  ,  University of Cologne  , Germany , 2016    
   236  ,  University of the Balearic Islands  , Spain , 2017    
   236  ,  University Claude Bernard - Lyon I  , France , 2015    
   237  ,  Humboldt University of Berlin  , Germany , 2017    
   237  ,  University of Southern Denmark  , Denmark , 2014    
   237  ,  University of Barcelona  , Spain , 2015    
   237  ,  University Paul Sabatier - Toulouse III  , France , 2012    
   237  ,  Queen&rsquo;s University Belfast  , UK , 2013    
   238  ,  University of Göttingen  , Germany , 2012    
   238  ,  Aarhus University  , Denmark , 2018    
   238  ,  Queen&rsquo;s University Belfast  , UK , 2016    
   239  ,  University of Kiel  , Germany , 2015    
   239  ,  Technical University of Berlin  , Germany , 2014    
   239  ,  Polytechnic University of Milan  , Italy , 2018    
   239  ,  University of Leicester  , UK , 2013    
   239  ,  University of Leicester  , UK , 2012    
   240  ,  University College Cork  , Ireland , 2016    
   240  ,  Norwegian University of Science and Technology  , Norway , 2012    
   241  ,  University Paul Sabatier - Toulouse III  , France , 2015    
   241  ,  Queen&rsquo;s University Belfast  , UK , 2012    
   241  ,  University of Bath  , UK , 2014    
   242  ,  Medical University of Vienna  , Austria , 2018    
   242  ,  Medical University of Vienna  , Austria , 2016    
   242  ,  Medical University of Vienna  , Austria , 2012    
   242  ,  University of Vienna  , Austria , 2014    
   242  ,  Göteborg University  , Sweden , 2013    
   242  ,  Brunel University  , UK , 2015    
   243  ,  University of Vienna  , Austria , 2012    
   243  ,  University of Antwerp  , Belgium , 2018    
   244  ,  University of Gent  , Belgium , 2014    
   244  ,  University of Barcelona  , Spain , 2016    
   245  ,  University of Mainz  , Germany , 2017    
   245  ,  University of Southern Denmark  , Denmark , 2015    
   245  ,  University of Barcelona  , Spain , 2012    
   245  ,  University Claude Bernard - Lyon I  , France , 2018    
   245  ,  University Claude Bernard - Lyon I  , France , 2016    
   246  ,  University of Antwerp  , Belgium , 2014    
   246  ,  Free University of Berlin  , Germany , 2016    
   246  ,  University of Helsinki  , Finland , 2012    
   246  ,  Cardiff University  , UK , 2013    
   247  ,  University of Antwerp  , Belgium , 2017    
   247  ,  University of Bochum  , Germany , 2015    
   247  ,  Technical University of Berlin  , Germany , 2012    
   247  ,  Kaiserslautern University of Technology  , Germany , 2018    
   247  ,  Hebrew University of Jerusalem  , Israel , 2013    
   248  ,  University of Duisburg-Essen  , Germany , 2015    
   248  ,  University of Marburg  , Germany , 2012    
   248  ,  University Claude Bernard - Lyon I  , France , 2014    
   248  ,  University of Montpellier II  , France , 2016    
   249  ,  University of Vienna  , Austria , 2013    
   250  ,  National University of Ireland - Galway  , Ireland , 2016    
   250  ,  University of Eastern Finland  , Finland , 2013    
   251  ,  University Paul Sabatier - Toulouse III  , France , 2016    
   252  ,  University of Kiel  , Germany , 2012    
   252  ,  Tilburg University  , Netherlands , 2014    
   252  ,  Bangor University  , UK , 2016    
   252  ,  Aalto University  , Finland , 2018    
   253  ,  University of Droit et de la Sante - Lille II  , France , 2017    
   253  ,  University College Cork  , Ireland , 2012    
   253  ,  University of Salerno  , Italy , 2018    
   253  ,  Lund University  , Sweden , 2015    
   253  ,  Stockholm University  , Sweden , 2016    
   254  ,  University of Bayreuth  , Germany , 2018    
   254  ,  University of Bayreuth  , Germany , 2016    
   254  ,  University of Hannover  , Germany , 2015    
   254  ,  University Paul Sabatier - Toulouse III  , France , 2013    
   255  ,  University of Münster  , Germany , 2012    
   255  ,  University Rovira I Virgili Tarragona  , Spain , 2015    
   255  ,  University College Dublin  , Ireland , 2018    
   255  ,  Grenoble INP  , France , 2014    
   255  ,  University of Montpellier  , France , 2017    
   256  ,  University of Helsinki  , Finland , 2016    
   256  ,  Uppsala University  , Sweden , 2013    
   256  ,  University Paris-Est Créteil Val de Marne  , France , 2014    
   257  ,  University of Rennes I  , France , 2015    
   257  ,  Lund University  , Sweden , 2012    
   258  ,  Medical University of Innsbruck  , Austria , 2014    
   258  ,  Vienna University of Technology  , Austria , 2017    
   258  ,  Lund University  , Sweden , 2016    
   258  ,  Cardiff University  , UK , 2012    
   258  ,  University of Hull  , UK , 2018    
   259  ,  Kaiserslautern University of Technology  , Germany , 2016    
   259  ,  University of Barcelona  , Spain , 2013    
   260  ,  University of Jena  , Germany , 2013    
   260  ,  Brunel University  , UK , 2016    
   261  ,  University of Jena  , Germany , 2016    
   261  ,  University of Bremen  , Germany , 2013    
   261  ,  National University of Ireland - Galway  , Ireland , 2015    
   261  ,  City University London  , UK , 2018    
   261  ,  Loughborough University  , UK , 2017    
   262  ,  University of Duisburg-Essen  , Germany , 2017    
   262  ,  University of Lubeck  , Germany , 2014    
   262  ,  University of the Balearic Islands  , Spain , 2016    
   262  ,  KTH - Royal Institute of Technology  , Sweden , 2012    
   262  ,  University of Surrey  , UK , 2015    
   263  ,  University of Burgundy  , France , 2014    
   263  ,  University College Cork  , Ireland , 2017    
   263  ,  University of Florence  , Italy , 2016    
   263  ,  Tilburg University  , Netherlands , 2015    
   263  ,  Lund University  , Sweden , 2013    
   264  ,  Tilburg University  , Netherlands , 2018    
   264  ,  University of Strasbourg  , France , 2017    
   265  ,  University of Ulm  , Germany , 2016    
   265  ,  National University of Ireland - Galway  , Ireland , 2017    
   265  ,  Lund University  , Sweden , 2014    
   265  ,  Swedish University of Agricultural Sciences  , Sweden , 2018    
   266  ,  University of Bochum  , Germany , 2014    
   266  ,  Technical University of Berlin  , Germany , 2018    
   266  ,  Technical University of Berlin  , Germany , 2013    
   266  ,  Grenoble INP  , France , 2015    
   267  ,  University of Antwerp  , Belgium , 2016    
   267  ,  Technical University of Dresden  , Germany , 2017    
   267  ,  KTH - Royal Institute of Technology  , Sweden , 2015    
   267  ,  KTH - Royal Institute of Technology  , Sweden , 2013    
   268  ,  University of Limerick  , Ireland , 2016    
   268  ,  University of Trento  , Italy , 2015    
   269  ,  Medical University of Innsbruck  , Austria , 2012    
   269  ,  University of Kiel  , Germany , 2013    
   269  ,  Hannover Medical School  , Germany , 2015    
   269  ,  University of Barcelona  , Spain , 2018    
   269  ,  University of Helsinki  , Finland , 2014    
   269  ,  University of Salerno  , Italy , 2016    
   270  ,  University of Jena  , Germany , 2015    
   270  ,  Aalborg University  , Denmark , 2017    
   270  ,  University of Rennes I  , France , 2016    
   270  ,  University of Birmingham  , UK , 2013    
   271  ,  University of Innsbruck  , Austria , 2014    
   271  ,  Aalborg University  , Denmark , 2018    
   271  ,  University College Dublin  , Ireland , 2015    
   271  ,  University of Milan  , Italy , 2012    
   272  ,  Polytechnic University of Valencia  , Spain , 2012    
   273  ,  Polytechnic University of Milan  , Italy , 2017    
   273  ,  Göteborg University  , Sweden , 2018    
   274  ,  Vienna University of Technology  , Austria , 2018    
   274  ,  Autonomous University of Barcelona  , Spain , 2012    
   274  ,  University Paul Sabatier - Toulouse III  , France , 2014    
   274  ,  Lund University  , Sweden , 2017    
   275  ,  University of Jena  , Germany , 2012    
   275  ,  University of Düsseldorf  , Germany , 2017    
   275  ,  University of Bielefeld  , Germany , 2016    
   275  ,  Aalborg University  , Denmark , 2014    
   275  ,  University of Helsinki  , Finland , 2013    
   276  ,  Humboldt University of Berlin  , Germany , 2018    
   276  ,  Technical University of Dresden  , Germany , 2016    
   276  ,  University of Oslo  , Norway , 2012    
   277  ,  University of Jena  , Germany , 2018    
   277  ,  Hannover Medical School  , Germany , 2013    
   277  ,  Technical University of Dresden  , Germany , 2014    
   277  ,  Aix-Marseille University  , France , 2015    
   278  ,  Vrije Universiteit Brussel  , Belgium , 2016    
   278  ,  University of Salerno  , Italy , 2017    
   278  ,  University of Girona  , Spain , 2018    
   279  ,  University of Duisburg-Essen  , Germany , 2014    
   279  ,  University of Oslo  , Norway , 2013    
   279  ,  University of Strathclyde  , UK , 2018    
   279  ,  Aix-Marseille University  , France , 2016    
   280  ,  University of Hamburg  , Germany , 2012    
   280  ,  University of Potsdam  , Germany , 2014    
   280  ,  Dublin City University  , Ireland , 2016    
   281  ,  University of Jena  , Germany , 2014    
   281  ,  University of Helsinki  , Finland , 2017    
   281  ,  University College Dublin  , Ireland , 2013    
   281  ,  University of Birmingham  , UK , 2012    
   282  ,  Vienna University of Technology  , Austria , 2014    
   282  ,  Technical University of Darmstadt  , Germany , 2015    
   282  ,  Polytechnic University of Valencia  , Spain , 2013    
   282  ,  Hebrew University of Jerusalem  , Israel , 2012    
   282  ,  Swansea University  , UK , 2017    
   283  ,  University of Linz  , Austria , 2018    
   283  ,  University of Tübingen  , Germany , 2015    
   283  ,  University of Giessen  , Germany , 2012    
   283  ,  University College Dublin  , Ireland , 2017    
   284  ,  University of Cologne  , Germany , 2017    
   284  ,  Aalborg University  , Denmark , 2016    
   286  ,  Vienna University of Technology  , Austria , 2016    
   287  ,  Hannover Medical School  , Germany , 2014    
   287  ,  University of Potsdam  , Germany , 2018    
   287  ,  University of Ulm  , Germany , 2015    
   287  ,  Norwegian University of Science and Technology  , Norway , 2013    
   288  ,  University of Linz  , Austria , 2017    
   288  ,  University of Liège  , Belgium , 2013    
   288  ,  Hannover Medical School  , Germany , 2016    
   288  ,  Technical University of Dresden  , Germany , 2018    
   288  ,  Aix-Marseille University  , France , 2014    
   289  ,  University of Liège  , Belgium , 2015    
   289  ,  Vrije Universiteit Brussel  , Belgium , 2013    
   289  ,  Free University of Berlin  , Germany , 2018    
   289  ,  Dublin City University  , Ireland , 2017    
   291  ,  Vienna University of Technology  , Austria , 2013    
   291  ,  Technical University of Darmstadt  , Germany , 2018    
   291  ,  University of Perugia  , Italy , 2015    
   291  ,  University of Bergen  , Norway , 2012    
   292  ,  Vrije Universiteit Brussel  , Belgium , 2012    
   292  ,  Brunel University  , UK , 2017    
   292  ,  Queen&rsquo;s University Belfast  , UK , 2014    
   292  ,  Swansea University  , UK , 2018    
   293  ,  University of Liège  , Belgium , 2012    
   293  ,  University of Kiel  , Germany , 2018    
   293  ,  University of Potsdam  , Germany , 2017    
   294  ,  Vienna University of Technology  , Austria , 2012    
   294  ,  University of Southern Denmark  , Denmark , 2017    
   294  ,  University of Milan  , Italy , 2013    
   294  ,  University of Verona  , Italy , 2014    
   294  ,  Tilburg University  , Netherlands , 2016    
   294  ,  Uppsala University  , Sweden , 2018    
   295  ,  University of Duisburg-Essen  , Germany , 2013    
   295  ,  University of Hannover  , Germany , 2014    
   295  ,  University of Eastern Finland  , Finland , 2012    
   296  ,  University of Hannover  , Germany , 2013    
   296  ,  University of la Méditerranée - Aix-Marseille II  , France , 2012    
   296  ,  Tilburg University  , Netherlands , 2017    
   296  ,  Norwegian University of Science and Technology  , Norway , 2018    
   296  ,  Chalmers University of Technology  , Sweden , 2016    
   297  ,  University of Tübingen  , Germany , 2016    
   297  ,  Technical University of Darmstadt  , Germany , 2012    
   297  ,  Uppsala University  , Sweden , 2014    
   297  ,  Aalto University  , Finland , 2013    
   298  ,  University of Lubeck  , Germany , 2013    
   298  ,  University of Marburg  , Germany , 2016    
   298  ,  University of Hamburg  , Germany , 2017    
   298  ,  University College Dublin  , Ireland , 2014    
   298  ,  Göteborg University  , Sweden , 2015    
   299  ,  Hebrew University of Jerusalem  , Israel , 2017    
   300  ,  Uppsala University  , Sweden , 2017    
   301  ,  Hannover Medical School  , Germany , 2012    
   301  ,  University of Padua  , Italy , 2018    
   301  ,  Norwegian University of Science and Technology  , Norway , 2016    
   302  ,  Linkoping University  , Sweden , 2012    
   303  ,  University of Southern Denmark  , Denmark , 2016    
   303  ,  University of Santiago de Compostela  , Spain , 2012    
   303  ,  University of Helsinki  , Finland , 2018    
   303  ,  University of Rennes I  , France , 2014    
   303  ,  Norwegian University of Science and Technology  , Norway , 2015    
   304  ,  University of Southern Denmark  , Denmark , 2018    
   304  ,  University Lille I  , France , 2014    
   304  ,  Uppsala University  , Sweden , 2015    
   304  ,  Aalto University  , Finland , 2017    
   305  ,  University of Innsbruck  , Austria , 2016    
   305  ,  University of Bochum  , Germany , 2012    
   305  ,  University of Brescia  , Italy , 2015    
   305  ,  University of Florence  , Italy , 2017    
   305  ,  Swedish University of Agricultural Sciences  , Sweden , 2013    
   306  ,  University of Marburg  , Germany , 2017    
   306  ,  National University of Ireland - Galway  , Ireland , 2018    
   306  ,  University of Aveiro  , Portugal , 2013    
   307  ,  Saarland University  , Germany , 2012    
   308  ,  Aalborg University  , Denmark , 2015    
   308  ,  University of Droit et de la Sante - Lille II  , France , 2012    
   308  ,  Polytechnic University of Milan  , Italy , 2016    
   308  ,  Brunel University  , UK , 2018    
