# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   210  ,  University of Manchester  , UK    
   211  ,  University Claude Bernard - Lyon I  , France    
   214  ,  Free University of Berlin  , Germany    
   215  ,  University of Ulm  , Germany    
   218  ,  University Joseph Fourier - Grenoble I  , France    
   219  ,  Umea University  , Sweden    
   222  ,  Aalto University  , Finland    
   223  ,  Göteborg University  , Sweden    
   224  ,  Uppsala University  , Sweden    
   227  ,  University of Bremen  , Germany    
   230  ,  University of Gent  , Belgium    
   231  ,  Université Libre de Bruxelles  , Belgium    
   234  ,  University of Montpellier I  , France    
   237  ,  University Paul Sabatier - Toulouse III  , France    
   238  ,  University of Göttingen  , Germany    
   239  ,  University of Leicester  , UK    
   240  ,  Norwegian University of Science and Technology  , Norway    
   241  ,  Queen&rsquo;s University Belfast  , UK    
   242  ,  Medical University of Vienna  , Austria    
   243  ,  University of Vienna  , Austria    
   245  ,  University of Barcelona  , Spain    
   246  ,  University of Helsinki  , Finland    
   247  ,  Technical University of Berlin  , Germany    
   248  ,  University of Marburg  , Germany    
   252  ,  University of Kiel  , Germany    
   253  ,  University College Cork  , Ireland    
   255  ,  University of Münster  , Germany    
   257  ,  Lund University  , Sweden    
   258  ,  Cardiff University  , UK    
   262  ,  KTH - Royal Institute of Technology  , Sweden    
   269  ,  Medical University of Innsbruck  , Austria    
   271  ,  University of Milan  , Italy    
   272  ,  Polytechnic University of Valencia  , Spain    
   274  ,  Autonomous University of Barcelona  , Spain    
   275  ,  University of Jena  , Germany    
   276  ,  University of Oslo  , Norway    
   280  ,  University of Hamburg  , Germany    
   281  ,  University of Birmingham  , UK    
   282  ,  Hebrew University of Jerusalem  , Israel    
   283  ,  University of Giessen  , Germany    
   291  ,  University of Bergen  , Norway    
   292  ,  Vrije Universiteit Brussel  , Belgium    
   293  ,  University of Liège  , Belgium    
   294  ,  Vienna University of Technology  , Austria    
   295  ,  University of Eastern Finland  , Finland    
   296  ,  University of la Méditerranée - Aix-Marseille II  , France    
   297  ,  Technical University of Darmstadt  , Germany    
   301  ,  Hannover Medical School  , Germany    
   302  ,  Linkoping University  , Sweden    
   303  ,  University of Santiago de Compostela  , Spain    
   305  ,  University of Bochum  , Germany    
   307  ,  Saarland University  , Germany    
   308  ,  University of Droit et de la Sante - Lille II  , France    
   309  ,  Autonomous University of Madrid  , Spain    
   311  ,  University of Trieste  , Italy    
   313  ,  University of Rennes I  , France    
   315  ,  University of Aveiro  , Portugal    
   316  ,  University of Leipzig  , Germany    
   321  ,  University of Turin  , Italy    
   323  ,  Polytechnic University of Milan  , Italy    
   324  ,  University of Crete  , Greece    
   325  ,  University of Burgundy  , France    
   326  ,  University of Nantes  , France    
   327  ,  University of Rostock  , Germany    
   329  ,  University of Valencia  , Spain    
   331  ,  University of Parma  , Italy    
   332  ,  University of Bologna  , Italy    
   334  ,  University of Surrey  , UK    
   335  ,  University of Verona  , Italy    
   336  ,  Tel Aviv University  , Israel    
   339  ,  Technion - Israel Institute of Technology  , Israel    
   340  ,  University of Padua  , Italy    
   342  ,  University College Dublin  , Ireland    
   344  ,  Technical University of Lisbon  , Portugal    
   347  ,  University of Hannover  , Germany    
   348  ,  University of Pavia  , Italy    
   350  ,  Polytechnic University of Turin  , Italy    
   351  ,  Polytechnic University of Catalonia  , Spain    
   354  ,  University of Porto  , Portugal    
   357  ,  New University of Lisbon  , Portugal    
   358  ,  University of Turku  , Finland    
   359  ,  University of Ferrara  , Italy    
   360  ,  University of Seville  , Spain    
   361  ,  University of Zaragoza  , Spain    
   362  ,  University of Perugia  , Italy    
   364  ,  University of Ioannina  , Greece    
   365  ,  University of Florence  , Italy    
   366  ,  University of Strathclyde  , UK    
   373  ,  University of Modena  , Italy    
   376  ,  University of Oulu  , Finland    
   377  ,  Loughborough University  , UK    
   381  ,  Middle East Technical University  , Turkey    
   383  ,  University of Magdeburg  , Germany    
   385  ,  University of Halle-Wittenberg  , Germany    
   390  ,  Complutense University of Madrid  , Spain    
   391  ,  University of Rome - Tor Vergata  , Italy    
   393  ,  University of Granada  , Spain    
   394  ,  University of Murcia  , Spain    
   397  ,  University Henri Poincaré - Nancy I  , France    
   398  ,  University of the Basque Country  , Spain    
   400  ,  National Technical University of Athens  , Greece    
   401  ,  University of Tampere  , Finland    
   403  ,  Bar-Ilan University  , Israel    
   405  ,  Aristotle University of Thessaloniki  , Greece    
   409  ,  University of Pisa  , Italy    
   411  ,  University of Bari  , Italy    
   413  ,  University of Lisbon  , Portugal    
   414  ,  University of Genoa  , Italy    
   415  ,  University of Patras  , Greece    
   417  ,  University of Naples Federico II  , Italy    
   418  ,  University of Coimbra  , Portugal    
   419  ,  Catholic University of the Sacred Heart  , Italy    
   422  ,  University of Rome - La Sapienza  , Italy    
   423  ,  Eötvös Lorand University  , Hungary    
   428  ,  University of Oviedo  , Spain    
   431  ,  University of Siena  , Italy    
   440  ,  Ben-Gurion University of the Negev  , Israel    
   442  ,  University of Messina  , Italy    
   443  ,  Technical University of Madrid  , Spain    
   451  ,  University of Palermo  , Italy    
   453  ,  University of Athens  , Greece    
   455  ,  University of Catania  , Italy    
   457  ,  University of Warsaw  , Poland    
   460  ,  University of Salamanca  , Spain    
   462  ,  University of Ljubljana  , Slovenia    
   469  ,  University of Szeged  , Hungary    
   472  ,  Ege University  , Turkey    
   475  ,  Jagiellonian University  , Poland    
   476  ,  Charles University Prague  , Czech Republic    
   490  ,  Gazi University Ankara  , Turkey    
   491  ,  University of Zagreb  , Croatia    
   492  ,  Hacettepe University  , Turkey    
   495  ,  University of Belgrade  , Serbia    
   496  ,  Ankara University  , Turkey    
   497  ,  Istanbul University  , Turkey    
   498  ,  Adam Mickiewicz University in Poznan  , Poland    
   499  ,  Moscow State University  , Russia    
   500  ,  St. Petersburg State University  , Russia    
