# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   12  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   18  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   25  ,  Weizmann Institute of Science  , Israel    
   31  ,  University of Cambridge  , UK    
   33  ,  London School of Hygiene & Tropical Medicine  , UK    
   36  ,  University of Oxford  , UK    
   42  ,  University of Durham  , UK    
   45  ,  Technical University of Denmark  , Denmark    
   54  ,  Imperial College London  , UK    
   59  ,  University College London  , UK    
   63  ,  Trinity College Dublin  , Ireland    
   64  ,  University of Twente  , Netherlands    
   66  ,  University of Edinburgh  , UK    
   69  ,  Wageningen University & Research Center  , Netherlands    
   71  ,  University of St. Andrews  , UK    
   72  ,  University of Zurich  , Switzerland    
   73  ,  University of Bristol  , UK    
   74  ,  Erasmus University Rotterdam  , Netherlands    
   75  ,  VU University Amsterdam  , Netherlands    
   77  ,  University of Basel  , Switzerland    
   78  ,  University of Dundee  , UK    
   80  ,  University of East Anglia  , UK    
   81  ,  University of Geneva  , Switzerland    
   82  ,  University of Lausanne  , Switzerland    
   84  ,  Eindhoven University of Technology  , Netherlands    
   85  ,  University of München  , Germany    
   92  ,  Utrecht University  , Netherlands    
   94  ,  Technical University of München  , Germany    
   96  ,  Stockholm University  , Sweden    
   97  ,  University of York  , UK    
   100  ,  University of Leiden  , Netherlands    
   104  ,  University of Amsterdam  , Netherlands    
   106  ,  University of Freiburg  , Germany    
   107  ,  King&rsquo;s College London  , UK    
   112  ,  Queen Mary - University of London  , UK    
   115  ,  Delft University of Technology  , Netherlands    
   116  ,  University of Exeter  , UK    
   117  ,  Aarhus University  , Denmark    
   118  ,  University Paris Sud (Paris XI)  , France    
   119  ,  University of Erlangen-Nürnberg  , Germany    
   120  ,  University of Copenhagen  , Denmark    
   122  ,  University Denis Diderot (Paris VII)  , France    
   124  ,  Karlsruhe Institute of Technology  , Germany    
   125  ,  University Pierre et Marie Curie (Paris VI)  , France    
   127  ,  University of Lancaster  , UK    
   128  ,  University of Glasgow  , UK    
   132  ,  University Victor Segalen - Bordeaux II  , France    
   133  ,  University of Stuttgart  , Germany    
   136  ,  University of Southampton  , UK    
   137  ,  University of Sussex  , UK    
   138  ,  University of Würzburg  , Germany    
   139  ,  University of Bath  , UK    
   141  ,  Ecole Polytechnique  , France    
   142  ,  University of Nottingham  , UK    
   144  ,  Catholic University of Louvain  , Belgium    
   147  ,  University of Nice-Sophia Antipolis  , France    
   148  ,  University of Groningen  , Netherlands    
   149  ,  Catholic University of Leuven  , Belgium    
   150  ,  Humboldt University of Berlin  , Germany    
   152  ,  University of Mainz  , Germany    
   153  ,  University of Bonn  , Germany    
   154  ,  University of Bern  , Switzerland    
   156  ,  University of Sheffield  , UK    
   157  ,  University of Frankfurt am Main  , Germany    
   162  ,  University of Aberdeen  , UK    
   164  ,  University Bordeaux I - Sciences Technologie  , France    
   165  ,  Karolinska Institute  , Sweden    
   167  ,  University René Descartes (Paris V)  , France    
   168  ,  University of Strasbourg  , France    
   171  ,  University of Heidelberg  , Germany    
   172  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   173  ,  University of Tübingen  , Germany    
   175  ,  RWTH Aachen University  , Germany    
   178  ,  University of Cologne  , Germany    
   180  ,  University of Southern Denmark  , Denmark    
   181  ,  University of Warwick  , UK    
   183  ,  Radboud University of Nijmegen  , Netherlands    
   186  ,  University of Liverpool  , UK    
   187  ,  University of Reading  , UK    
   189  ,  University of Antwerp  , Belgium    
   190  ,  University of Regensburg  , Germany    
   192  ,  University of Innsbruck  , Austria    
   193  ,  University of Montpellier II  , France    
   194  ,  Swedish University of Agricultural Sciences  , Sweden    
   201  ,  University of Düsseldorf  , Germany    
   204  ,  University of Duisburg-Essen  , Germany    
   206  ,  University of Maastricht  , Netherlands    
   207  ,  University of Leeds  , UK    
   208  ,  Chalmers University of Technology  , Sweden    
   209  ,  Technical University of Dresden  , Germany    
