# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   101  ,  University of Basel  , Switzerland , 2016    
   101  ,  Technical University of München  , Germany , 2011    
   101  ,  Ecole Polytechnique  , France , 2016    
   101  ,  University of Maastricht  , Netherlands , 2015    
   101  ,  University of Sheffield  , UK , 2012    
   102  ,  University of Mannheim  , Germany , 2017    
   102  ,  University of Helsinki  , Finland , 2011    
   102  ,  University of Glasgow  , UK , 2012    
   102  ,  Royal Holloway - University of London  , UK , 2014    
   103  ,  University of Basel  , Switzerland , 2019    
   103  ,  University of Helsinki  , Finland , 2015    
   103  ,  University Pierre et Marie Curie (Paris VI)  , France , 2015    
   103  ,  University of Maastricht  , Netherlands , 2018    
   103  ,  Stockholm University  , Sweden , 2014    
   103  ,  University of St. Andrews  , UK , 2011    
   103  ,  University of Warwick  , UK , 2015    
   103  ,  University of York  , UK , 2013    
   103  ,  University of Zurich  , Switzerland , 2015    
   104  ,  Free University of Berlin  , Germany , 2019    
   104  ,  Delft University of Technology  , Netherlands , 2012    
   104  ,  University of Sheffield  , UK , 2018    
   104  ,  University of Zurich  , Switzerland , 2016    
   105  ,  University of Bern  , Switzerland , 2018    
   105  ,  Technical University of München  , Germany , 2013    
   106  ,  University of Gent  , Belgium , 2012    
   106  ,  University of Mannheim  , Germany , 2016    
   106  ,  Eindhoven University of Technology  , Netherlands , 2014    
   106  ,  Uppsala University  , Sweden , 2013    
   106  ,  University of Sheffield  , UK , 2019    
   106  ,  University of Zurich  , Switzerland , 2017    
   107  ,  University of Gent  , Belgium , 2018    
   107  ,  University of Geneva  , Switzerland , 2015    
   107  ,  Queen Mary - University of London  , UK , 2015    
   107  ,  Royal Holloway - University of London  , UK , 2012    
   108  ,  Ecole Polytechnique  , France , 2019    
   108  ,  University of St. Andrews  , UK , 2013    
   109  ,  Humboldt University of Berlin  , Germany , 2012    
   109  ,  Aarhus University  , Denmark , 2018    
   109  ,  University of Copenhagen  , Denmark , 2018    
   109  ,  University of Helsinki  , Finland , 2013    
   109  ,  University of Sheffield  , UK , 2017    
   110  ,  University of Bern  , Switzerland , 2019    
   110  ,  University of Bern  , Switzerland , 2017    
   110  ,  University of Bonn  , Germany , 2019    
   110  ,  Trinity College Dublin  , Ireland , 2013    
   110  ,  University of Sheffield  , UK , 2013    
   110  ,  University of Southampton  , UK , 2016    
   110  ,  University of St. Andrews  , UK , 2017    
   110  ,  University of Sussex  , UK , 2013    
   110  ,  RWTH Aachen University  , Germany , 2016    
   111  ,  University of Basel  , Switzerland , 2012    
   111  ,  Uppsala University  , Sweden , 2014    
   111  ,  University of St. Andrews  , UK , 2015    
   111  ,  University of Sussex  , UK , 2015    
   112  ,  University of Bern  , Switzerland , 2012    
   112  ,  University of Göttingen  , Germany , 2017    
   112  ,  Scuola Normale Superiore di Pisa  , Italy , 2016    
   112  ,  Bilkent University  , Turkey , 2011    
   112  ,  University of Sheffield  , UK , 2014    
   113  ,  University of Tübingen  , Germany , 2015    
   113  ,  University of Göttingen  , Germany , 2018    
   113  ,  University of Bonn  , Germany , 2017    
   113  ,  University Pierre et Marie Curie (Paris VI)  , France , 2016    
   113  ,  Queen Mary - University of London  , UK , 2017    
   113  ,  University of York  , UK , 2015    
   114  ,  University Paris Sud (Paris XI)  , France , 2014    
   114  ,  Eindhoven University of Technology  , Netherlands , 2013    
   114  ,  Eindhoven University of Technology  , Netherlands , 2011    
   114  ,  Queen Mary - University of London  , UK , 2014    
   114  ,  University of Durham  , UK , 2019    
   115  ,  Ecole Polytechnique  , France , 2018    
   115  ,  Eindhoven University of Technology  , Netherlands , 2012    
   115  ,  University of Maastricht  , Netherlands , 2013    
   116  ,  University of Lausanne  , Switzerland , 2012    
   116  ,  Aarhus University  , Denmark , 2013    
   116  ,  University of Copenhagen  , Denmark , 2019    
   116  ,  Ecole Polytechnique  , France , 2017    
   116  ,  University of Birmingham  , UK , 2019    
   117  ,  Technical University of Denmark  , Denmark , 2014    
   117  ,  Trinity College Dublin  , Ireland , 2018    
   117  ,  Trinity College Dublin  , Ireland , 2012    
   117  ,  University of Groningen  , Netherlands , 2015    
   117  ,  KTH - Royal Institute of Technology  , Sweden , 2014    
   117  ,  Stockholm University  , Sweden , 2013    
   117  ,  University of Glasgow  , UK , 2014    
   117  ,  University of St. Andrews  , UK , 2014    
   118  ,  University of Gent  , Belgium , 2017    
   118  ,  University of Gent  , Belgium , 2016    
   118  ,  University of Geneva  , Switzerland , 2011    
   118  ,  University of Southampton  , UK , 2019    
   118  ,  Royal Holloway - University of London  , UK , 2015    
   119  ,  Catholic University of Leuven  , Belgium , 2011    
   119  ,  Lund University  , Sweden , 2015    
   119  ,  University of Birmingham  , UK , 2016    
   119  ,  University of York  , UK , 2019    
   119  ,  Royal Holloway - University of London  , UK , 2013    
   120  ,  University of Bern  , Switzerland , 2016    
   120  ,  University of Copenhagen  , Denmark , 2017    
   120  ,  University Paris Sud (Paris XI)  , France , 2015    
   120  ,  Trinity College Dublin  , Ireland , 2019    
   120  ,  Queen Mary - University of London  , UK , 2011    
   120  ,  University of Nottingham  , UK , 2013    
   121  ,  Technical University of Denmark  , Denmark , 2015    
   121  ,  University Pierre et Marie Curie (Paris VI)  , France , 2017    
   121  ,  Hebrew University of Jerusalem  , Israel , 2012    
   121  ,  Radboud University of Nijmegen  , Netherlands , 2017    
   121  ,  University of Oslo  , Norway , 2019    
   121  ,  Queen Mary - University of London  , UK , 2018    
   121  ,  University of Sheffield  , UK , 2015    
   121  ,  University of Southampton  , UK , 2017    
   121  ,  University of Sussex  , UK , 2014    
   121  ,  University of York  , UK , 2012    
   121  ,  University of Zurich  , Switzerland , 2014    
   122  ,  Technical University of Denmark  , Denmark , 2011    
   122  ,  Radboud University of Nijmegen  , Netherlands , 2018    
   123  ,  University of Erlangen-Nürnberg  , Germany , 2016    
   123  ,  University of Göttingen  , Germany , 2019    
   123  ,  University of Mannheim  , Germany , 2019    
   123  ,  Aarhus University  , Denmark , 2019    
   123  ,  University Pierre et Marie Curie (Paris VI)  , France , 2018    
   123  ,  Radboud University of Nijmegen  , Netherlands , 2019    
   123  ,  Lund University  , Sweden , 2014    
   124  ,  University of Gent  , Belgium , 2011    
   124  ,  University of Geneva  , Switzerland , 2014    
   124  ,  University of Leiden  , Netherlands , 2011    
   124  ,  University of Lancaster  , UK , 2011    
   124  ,  University of Warwick  , UK , 2013    
   125  ,  University of Mannheim  , Germany , 2018    
   125  ,  University of Münster  , Germany , 2016    
   125  ,  Aarhus University  , Denmark , 2012    
   125  ,  Radboud University of Nijmegen  , Netherlands , 2016    
   126  ,  KTH - Royal Institute of Technology  , Sweden , 2015    
   126  ,  University of Exeter  , UK , 2017    
   126  ,  University of Southampton  , UK , 2018    
   126  ,  Charité - University Medicine Berlin  , Germany , 2018    
   127  ,  Radboud University of Nijmegen  , Netherlands , 2013    
   127  ,  Queen Mary - University of London  , UK , 2012    
   127  ,  University of Southampton  , UK , 2012    
   128  ,  Catholic University of Louvain  , Belgium , 2019    
   128  ,  Catholic University of Louvain  , Belgium , 2017    
   128  ,  Free University of Berlin  , Germany , 2013    
   128  ,  University of Maastricht  , Netherlands , 2019    
   128  ,  University of Glasgow  , UK , 2011    
   129  ,  Catholic University of Louvain  , Belgium , 2018    
   129  ,  Trinity College Dublin  , Ireland , 2014    
   129  ,  Stockholm University  , Sweden , 2011    
   129  ,  University of York  , UK , 2017    
   129  ,  RWTH Aachen University  , Germany , 2014    
   129  ,  Royal Holloway - University of London  , UK , 2016    
   130  ,  University of Geneva  , Switzerland , 2018    
   130  ,  University of Geneva  , Switzerland , 2012    
   130  ,  University of Lausanne  , Switzerland , 2013    
   130  ,  University of Copenhagen  , Denmark , 2013    
   130  ,  Queen Mary - University of London  , UK , 2019    
   130  ,  University of Birmingham  , UK , 2017    
   130  ,  University of Exeter  , UK , 2018    
   130  ,  University of Lancaster  , UK , 2016    
   130  ,  University of Southampton  , UK , 2013    
   131  ,  University of Geneva  , Switzerland , 2016    
   131  ,  Technical University of Berlin  , Germany , 2019    
   131  ,  Radboud University of Nijmegen  , Netherlands , 2014    
   131  ,  Stockholm University  , Sweden , 2012    
   131  ,  University of Lancaster  , UK , 2015    
   131  ,  University of Lancaster  , UK , 2012    
   131  ,  University of York  , UK , 2016    
   132  ,  University of Bern  , Switzerland , 2015    
   132  ,  University of Lausanne  , Switzerland , 2014    
   132  ,  University of Freiburg  , Germany , 2011    
   132  ,  University of Oslo  , Norway , 2017    
   132  ,  University of Southampton  , UK , 2015    
   133  ,  University of Geneva  , Switzerland , 2013    
   133  ,  University of Leeds  , UK , 2017    
   133  ,  University of Leeds  , UK , 2016    
   133  ,  University of Leeds  , UK , 2012    
   133  ,  Karlsruhe Institute of Technology  , Germany , 2018    
   134  ,  University of Groningen  , Netherlands , 2012    
   134  ,  Stockholm University  , Sweden , 2018    
   135  ,  University of Geneva  , Switzerland , 2019    
   135  ,  Technical University of Dresden  , Germany , 2015    
   135  ,  University of Hamburg  , Germany , 2019    
   135  ,  University of Ulm  , Germany , 2017    
   135  ,  University of Copenhagen  , Denmark , 2012    
   135  ,  University Pompeu Fabra  , Spain , 2019    
   135  ,  University of Bergen  , Norway , 2011    
   135  ,  University of Oslo  , Norway , 2016    
   135  ,  Karlsruhe Institute of Technology  , Germany , 2019    
   136  ,  University of Lausanne  , Switzerland , 2015    
   136  ,  University of Lausanne  , Switzerland , 2011    
   136  ,  VU University Amsterdam  , Netherlands , 2015    
   136  ,  Stockholm University  , Sweden , 2016    
   136  ,  University of Zurich  , Switzerland , 2018    
   137  ,  University of Geneva  , Switzerland , 2017    
   137  ,  Hebrew University of Jerusalem  , Israel , 2013    
   137  ,  Scuola Normale Superiore di Pisa  , Italy , 2017    
   137  ,  University of Lancaster  , UK , 2017    
   137  ,  University of Lancaster  , UK , 2014    
   137  ,  University of Sheffield  , UK , 2011    
   137  ,  University of York  , UK , 2018    
   138  ,  Aarhus University  , Denmark , 2014    
   138  ,  Trinity College Dublin  , Ireland , 2015    
   138  ,  Karlsruhe Institute of Technology  , Germany , 2016    
   139  ,  University of Vienna  , Austria , 2012    
   139  ,  VU University Amsterdam  , Netherlands , 2011    
   139  ,  Bogazici University  , Turkey , 2015    
   139  ,  University of Glasgow  , UK , 2013    
   139  ,  University of Leeds  , UK , 2018    
   139  ,  University of Leeds  , UK , 2014    
   140  ,  University Pompeu Fabra  , Spain , 2018    
   140  ,  University Pierre et Marie Curie (Paris VI)  , France , 2011    
   140  ,  VU University Amsterdam  , Netherlands , 2013    
   140  ,  Radboud University of Nijmegen  , Netherlands , 2015    
   140  ,  KTH - Royal Institute of Technology  , Sweden , 2013    
   140  ,  University of Dundee  , UK , 2011    
   140  ,  University of Nottingham  , UK , 2012    
